Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
386,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,0.462,0.6,1.1,0.5,0.3,0.7,0.4,0.615,0.9,1.1,0.75,0.1,0.1,0.3,0.3,0,0,0.6,0.6,3.1,
387,Ochai Agbaji,25,TOR,SG,16,1,13.5,1.3,3.4,0.37,0.1,1.2,0.053,1.2,2.2,0.543,0.38,0.4,0.6,0.7,0.4,1.5,1.9,0.8,0.4,0.1,0.3,1.7,3,
388,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,0.571,0,1,0,1.3,1.3,1,0.571,0.3,0.3,1,0,1,1,0.3,0.3,0,0,1.3,3,
389,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2,0.667,0.3,1,0.333,1,1,1,0.75,0,0,,0.3,0.3,0.7,0.3,0.3,0,0,0.3,3,
390,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,0.35,0.3,1.3,0.25,0.8,2,0.417,0.4,0.3,0.7,0.5,0.2,1,1.2,1.5,0.2,0.2,0.3,0.5,3,
391,Jase Richardson,20,ORL,SG,13,0,6.7,1.1,2.2,0.5,0.4,0.8,0.455,0.7,1.3,0.529,0.589,0.5,0.5,0.857,0.2,0.7,0.9,1,0.2,0,0.3,0.5,3,
392,Dalen Terry,23,CHI,SG,12,0,10.6,1.3,2.8,0.455,0.3,1,0.25,1,1.8,0.571,0.5,0.3,0.6,0.429,0.5,1.3,1.8,1.3,0.8,0.3,0.8,1.3,3,
393,Guerschon Yabusele,30,NYK,C,21,0,10.1,1.1,2.9,0.393,0.5,1.9,0.275,0.6,1,0.619,0.484,0.2,0.4,0.5,0.7,1.6,2.2,0.4,0.1,0.2,0.3,1.1,3,
394,Jonathan Isaac,28,ORL,PF,20,0,10.2,1.1,2.5,0.449,0.3,1.2,0.208,0.9,1.3,0.68,0.5,0.5,0.9,0.5,0.9,2.4,3.2,0.1,0.3,0.5,0.4,0.8,2.9,
395,Chris Paul,40,LAC,PG,16,0,14.3,1.1,3.5,0.321,0.6,1.9,0.333,0.5,1.6,0.308,0.411,0.1,0.1,0.5,0.4,1.4,1.8,3.3,0.7,0,1,1.4,2.9,
396,Julian Phillips,22,CHI,SF,20,2,10.3,1.2,2.6,0.442,0.4,1.4,0.296,0.8,1.3,0.6,0.519,0.2,0.2,0.75,0.8,0.7,1.4,0.3,0.5,0.3,0.1,1.2,2.9,
397,Bobi Klintman,22,DET,SF,6,0,8.8,1.2,3.5,0.333,0.5,1.8,0.273,0.7,1.7,0.4,0.405,0,0.5,0,0.8,1.8,2.7,0.7,0.3,0,0.8,1.5,2.8,
398,Yanic Konan Niederhauser,22,LAC,C,11,0,5.2,1.2,1.6,0.722,0,0,,1.2,1.6,0.722,0.722,0.5,0.9,0.5,0.6,0.7,1.4,0.3,0,0.3,0.3,0.4,2.8,
399,Jae'Sean Tate,30,HOU,SF,13,0,7.6,1.2,2.2,0.536,0.3,0.7,0.444,0.8,1.5,0.579,0.607,0.2,0.2,1,0.6,0.8,1.5,0.3,0.2,0,0.2,1.3,2.8,
400,Xavier Tillman Sr.,27,BOS,C,11,1,9.4,1.3,2.5,0.5,0.3,1.2,0.231,1,1.4,0.733,0.554,0,0,,0.9,1.3,2.2,0.5,0.5,0.2,0.4,0.8,2.8,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
401,Kevon Looney,29,NOP,C,12,6,12.9,1.2,2.8,0.424,0.1,0.6,0.143,1.1,2.2,0.5,0.439,0.3,0.5,0.5,1.7,2.3,3.9,1.4,0.3,0.4,0.5,2.1,2.7,
402,Jericho Sims,27,MIL,C,18,2,13.4,1.2,1.4,0.846,0,0,,1.2,1.4,0.846,0.846,0.3,0.4,0.714,1.3,2.4,3.7,0.7,0.2,0.3,0.7,1.5,2.7,
403,Gui Santos,23,GSW,PF,16,1,7.6,0.9,2.4,0.395,0.4,1.6,0.269,0.5,0.8,0.667,0.487,0.3,0.4,0.667,0.7,0.8,1.5,0.4,0.3,0.1,0.7,1.3,2.6,
404,Yang Hansen,20,POR,C,12,0,6.8,0.8,2.9,0.286,0.1,1.2,0.071,0.8,1.8,0.429,0.3,0.8,0.8,0.9,0.4,1.1,1.5,0.7,0,0.4,0.6,0.7,2.5,
405,Caleb Houstan,23,ATL,SF,8,0,5.4,0.8,1.6,0.462,0.6,1.3,0.5,0.1,0.4,0.333,0.654,0.4,0.4,1,0.5,0.1,0.6,0.3,0.1,0.1,0.5,0.6,2.5,
406,GG Jackson II,21,MEM,PF,8,0,6.8,0.9,3.5,0.25,0,1.5,0,0.9,2,0.438,0.25,0.8,1.1,0.667,0.4,1.4,1.8,0.3,0.5,0.1,0.3,0.5,2.5,
407,Isaiah Livers,27,PHO,PF,13,0,12.2,0.8,2.2,0.345,0.5,1.8,0.292,0.2,0.4,0.6,0.466,0.4,0.5,0.833,0.6,1.5,2.2,0.4,0.5,0.4,0.4,1.1,2.5,
408,Jahmir Young,25,MIA,PG,4,0,4.3,1,2.5,0.4,0.5,1,0.5,0.5,1.5,0.333,0.5,0,0,,0,0.3,0.3,0.8,0,0,0.3,0.8,2.5,
409,Carter Bryant,20,SAS,PF,17,0,7.9,0.9,2.8,0.319,0.5,1.6,0.296,0.4,1.2,0.35,0.404,0.2,0.2,1,0.4,1.4,1.7,0.1,0.2,0.1,0.4,0.9,2.4,
410,Elijah Harkless,25,UTA,SG,7,0,9.4,0.6,1.6,0.364,0.3,1,0.286,0.3,0.6,0.5,0.455,1,1.3,0.778,0.3,0.6,0.9,0.7,0.6,0,0.4,1.4,2.4,
411,Chris Boucher,33,BOS,PF,8,0,11.4,0.9,2.8,0.318,0.1,1.5,0.083,0.8,1.3,0.6,0.341,0.4,0.5,0.75,0.3,2,2.3,0.4,0.6,0.9,0.1,2,2.3,
412,Javonte Cooke,26,POR,SG,3,0,8,1,3.3,0.3,0.3,1.3,0.25,0.7,2,0.333,0.35,0,0,,0.3,0,0.3,1,0.3,0,1,0.3,2.3,
413,Gary Harris,31,MIL,SG,15,0,13.3,0.8,1.9,0.429,0.4,1,0.4,0.4,0.9,0.462,0.536,0.3,0.3,1,0.2,1.2,1.4,1.2,0.8,0.1,0.5,1.1,2.3,
414,Tyus Jones,29,ORL,PG,23,1,13.7,0.9,2.7,0.339,0.4,1.6,0.25,0.5,1.1,0.462,0.411,0.1,0.1,1,0.1,0.7,0.8,2,0.7,0.1,0.3,0.6,2.3,
415,Zeke Nnaji,25,DEN,PF,13,1,8.5,0.8,1.5,0.55,0.2,0.8,0.273,0.6,0.7,0.889,0.625,0.4,0.5,0.714,0.3,1.2,1.5,0.2,0.2,0.2,0.5,1.2,2.3,
416,Dwight Powell,34,DAL,C,19,1,10.5,0.6,1,0.632,0,0,,0.6,1,0.632,0.632,1,1.4,0.704,0.8,1.2,2.1,0.9,0.5,0.2,0.4,2,2.3,
417,Orlando Robinson,25,ORL,C,3,1,7.3,1,1.7,0.6,0.3,0.7,0.5,0.7,1,0.667,0.7,0,0,,0.7,0.3,1,0.7,0.3,0,0,1,2.3,
418,Lindy Waters III,28,SAS,SG,11,0,7.5,0.8,2.1,0.391,0.6,1.9,0.333,0.2,0.2,1,0.543,0,0,,0.2,1,1.2,0.5,0.2,0,0.1,0.9,2.3,
419,Luke Travers,24,CLE,SG,10,0,9.2,0.6,3.1,0.194,0.1,1.5,0.067,0.5,1.6,0.313,0.21,0.9,0.9,1,0.6,1.3,1.9,0.9,0.6,0.4,0.2,0.5,2.2,
420,Jamir Watkins,24,WAS,SG,6,1,8.5,0.8,1.5,0.556,0.2,0.7,0.25,0.7,0.8,0.8,0.611,0.3,0.3,1,0.3,1,1.3,0.5,0,0.2,0.2,1.2,2.2,
421,Devin Carter,23,SAC,PG,8,0,8.1,0.6,2.6,0.238,0.3,1.4,0.182,0.4,1.3,0.3,0.286,0.6,0.6,1,0.4,1.1,1.5,1.1,0.8,0.1,0.8,1,2.1,
422,Anthony Gill,33,WAS,PF,8,0,3.9,0.8,0.9,0.857,0.1,0.1,1,0.6,0.8,0.833,0.929,0.5,0.5,1,0.3,0.6,0.9,0,0,0.1,0.5,0.4,2.1,
423,Jeff Green,39,HOU,PF,9,0,4.6,0.8,1.7,0.467,0.6,1.3,0.417,0.2,0.3,0.667,0.633,0,0,,0.1,0.3,0.4,0,0,0.1,0,0.4,2.1,
424,Cody Williams,21,UTA,SG,12,0,12.4,0.9,3,0.306,0.2,1.5,0.111,0.8,1.5,0.5,0.333,0.1,0.3,0.333,0.3,0.6,0.8,0.5,0.3,0.2,0.4,1.6,2.1,
425,Joan Beringer,19,MIN,PF,9,0,4.1,0.9,1.2,0.727,0,0,,0.9,1.2,0.727,0.727,0.2,0.3,0.667,0.2,1.1,1.3,0,0.1,0.2,0.2,1,2,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
426,Koby Brea,23,PHO,SG,2,0,4,0.5,1.5,0.333,0,1,0,0.5,0.5,1,0.333,1,1,1,0,0.5,0.5,1,0,0,0,0,2,
427,JD Davison,23,HOU,PG,10,0,6.5,0.8,1.6,0.5,0.4,0.8,0.5,0.4,0.8,0.5,0.625,0,0.2,0,0,0.3,0.3,0.8,0.3,0.1,0.1,0.4,2,
428,Hunter Dickinson,25,NOP,C,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,0,1,2,2,2,
429,Rasheer Fleming,21,PHO,PF,12,0,5.7,0.7,2.3,0.296,0.3,1.3,0.188,0.4,0.9,0.455,0.352,0.4,0.4,1,0.6,0.7,1.3,0.2,0.3,0.2,0.3,0.8,2,
430,Johnny Furphy,21,IND,SG,5,0,13.8,0.8,2,0.4,0.4,1,0.4,0.4,1,0.4,0.5,0,0,,0.2,1.6,1.8,0.2,0.4,0,0.8,1.6,2,
431,Ron Harper Jr.,25,BOS,SF,4,0,5,0.8,2.5,0.3,0.5,2,0.25,0.3,0.5,0.5,0.4,0,0,,0.3,0.5,0.8,1,0.3,0.5,0,0.5,2,
432,Bronny James,21,LAL,SG,13,1,9.5,0.8,2.4,0.323,0.3,1.1,0.286,0.5,1.3,0.353,0.387,0.2,0.2,1,0.3,0.4,0.7,1.6,0.7,0.1,0.8,0.9,2,
433,Colby Jones,23,DET,SG,1,0,7,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,4,4,2,0,0,0,1,2,
434,E.J. Liddell,25,BRK,PF,7,0,4.6,0.7,1.7,0.417,0.3,1.1,0.25,0.4,0.6,0.75,0.5,0.3,0.4,0.667,0.4,0.9,1.3,0,0,0,0,0.6,2,
435,Kyle Lowry,39,PHI,PG,3,0,8,0.7,1.3,0.5,0.7,1.3,0.5,0,0,,0.75,0,0,,0,0.3,0.3,1.3,0.3,0,0,0.3,2,
436,Wendell Moore Jr.,24,DET,SG,3,0,14.3,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,0,0,,0.3,1,1.3,1,0.7,0.3,0.3,0.3,2,
437,Jalen Pickett,26,DEN,SG,9,1,6.2,0.8,1.8,0.438,0.3,0.9,0.375,0.4,0.9,0.5,0.531,0.1,0.1,1,0.2,0.6,0.8,0.8,0,0,0.4,0.4,2,
438,Daeqwon Plowden,27,SAC,SG,1,0,14,1,5,0.2,0,3,0,1,2,0.5,0.2,0,0,,2,0,2,0,0,0,0,0,2,
439,PJ Hall,23,MEM,C,7,0,3.9,0.7,1.3,0.556,0.1,0.4,0.333,0.6,0.9,0.667,0.611,0.3,0.4,0.667,0.4,0.9,1.3,0.3,0,0.3,0.1,0.4,1.9,
440,Maxi Kleber,34,LAL,PF,10,0,12.1,0.6,1.5,0.4,0.3,0.8,0.375,0.3,0.7,0.429,0.5,0.3,0.4,0.75,0.6,1.2,1.8,0.6,0.2,0.3,0.2,1.6,1.8,
441,Cody Martin,30,IND,SF,4,0,13.8,0.5,2.5,0.2,0,1.3,0,0.5,1.3,0.4,0.2,0.8,1.5,0.5,0.3,3.3,3.5,0.5,1,0.5,1,1.3,1.8,
442,Nolan Traoré,19,BRK,PG,4,0,8.8,0.5,2.3,0.222,0.5,1.5,0.333,0,0.8,0,0.333,0.3,0.5,0.5,0,0.3,0.3,1.3,0.5,0,0.5,1.3,1.8,
443,Johni Broome,23,PHI,C,6,0,6.5,0.7,3.3,0.2,0,0.5,0,0.7,2.8,0.235,0.2,0.3,0.7,0.5,1,1.2,2.2,0.7,0.3,0,0.3,0.8,1.7,
444,Dylan Cardwell,24,SAC,C,3,1,11,0.7,2,0.333,0,0.3,0,0.7,1.7,0.4,0.333,0.3,0.7,0.5,0.7,1,1.7,0,0.7,1,0.7,3.3,1.7,
445,Harrison Ingram,23,SAS,SF,3,0,3.7,0.7,1,0.667,0.3,0.3,1,0.3,0.7,0.5,0.833,0,0,,1,0,1,0,0,0,0,0.7,1.7,
446,Leonard Miller,22,MIN,SF,9,0,4.2,0.7,1.3,0.5,0,0.6,0,0.7,0.8,0.857,0.5,0.3,0.6,0.6,0.1,1.1,1.2,0.4,0.2,0,0.4,0.8,1.7,
447,Dario Šarić,31,SAC,C,3,0,9.3,0.3,1.7,0.2,0.3,0.7,0.5,0,1,0,0.3,0.7,0.7,1,0.3,1.3,1.7,0.7,0,0,0.3,0,1.7,
448,Chris Youngblood,23,OKC,SG,17,0,5.2,0.5,1.4,0.333,0.4,1.2,0.3,0.1,0.2,0.5,0.458,0.4,0.4,1,0.1,0.8,0.9,0.2,0.1,0,0.1,0.9,1.7,
449,Brooks Barnhizer,23,OKC,SG,16,0,7.5,0.7,1.3,0.524,0.1,0.2,0.333,0.6,1.1,0.556,0.548,0.2,0.3,0.6,0.4,1.6,2,0.4,0.2,0.1,0.1,0.6,1.6,
450,Jamal Cain,26,ORL,SF,5,0,6.2,0.6,1.6,0.375,0.2,1,0.2,0.4,0.6,0.667,0.438,0.2,0.4,0.5,0.4,0.4,0.8,0.4,0.2,0.2,0.4,0.8,1.6,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
451,Taelon Peter,23,IND,SG,15,0,7.1,0.5,1.9,0.241,0.4,1.8,0.222,0.1,0.1,0.5,0.345,0.3,0.3,0.8,0.3,0.8,1.1,0.9,0.1,0.1,0.6,0.4,1.6,
452,Jacob Toppin,25,ATL,SF,5,0,3.4,0.8,1.2,0.667,0,0,,0.8,1.2,0.667,0.667,0,0,,0,0.2,0.2,0.2,0,0.2,0,0.2,1.6,
453,Amir Coffey,28,MIL,SG,17,0,8.1,0.6,1.4,0.435,0.2,0.6,0.3,0.4,0.8,0.538,0.5,0.2,0.2,1,0.2,0.6,0.8,0.5,0,0.1,0.1,0.4,1.5,
454,Tyson Etienne,26,BRK,PG,8,0,4.3,0.5,1.9,0.267,0.5,1.6,0.308,0,0.3,0,0.4,0,0,,0,0,0,0.1,0,0,0.1,0.6,1.5,
455,Myron Gardner,24,MIA,SF,4,0,2.3,0.5,0.5,1,0.5,0.5,1,0,0,,1.5,0,0,,0,0.5,0.5,0.3,0,0,0,1,1.5,
456,Nigel Hayes-Davis,31,PHO,SF,17,0,8.9,0.7,2.1,0.333,0.1,0.7,0.083,0.6,1.4,0.458,0.347,0.1,0.1,0.5,0.5,0.8,1.3,0.4,0.4,0.1,0.4,0.8,1.5,
457,DaRon Holmes,23,DEN,PF,2,0,2,0.5,0.5,1,0.5,0.5,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0.5,1.5,
458,Rayan Rupert,21,POR,SG,16,0,7.5,0.6,1.7,0.333,0.3,0.9,0.286,0.3,0.8,0.385,0.407,0.1,0.3,0.5,0.2,1.4,1.6,0.3,0.4,0.1,0.5,1,1.5,
459,Thanasis Antetokounmpo,33,MIL,SF,8,0,2.4,0.5,0.6,0.8,0,0,,0.5,0.6,0.8,0.8,0.4,0.4,1,0.1,0.1,0.3,0,0.3,0.4,0,0.5,1.4,
460,Khaman Maluach,19,PHO,C,11,0,4.5,0.4,0.9,0.4,0,0.3,0,0.4,0.6,0.571,0.4,0.6,0.7,0.875,0.2,0.6,0.8,0.1,0,0.4,0.5,0.9,1.4,
461,Mason Plumlee,35,CHO,C,9,1,8,0.4,0.4,1,0,0,,0.4,0.4,1,1,0.6,1,0.556,0.7,1.9,2.6,1,0.3,0,0.6,0.2,1.4,
462,Adou Thiero,21,LAL,SF,7,0,6.7,0.4,0.7,0.6,0,0,,0.4,0.7,0.6,0.6,0.6,0.7,0.8,0.6,0.3,0.9,0.1,0.3,0,0.4,1.1,1.4,
463,Isaac Jones,25,2TM,PF,4,1,4.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0.3,0.5,0.5,0.5,0,0.5,0.3,0,0,0,1,1.3,
463,Isaac Jones,25,SAC,PF,3,1,5.7,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0.3,0.7,0.5,0.7,0,0.7,0.3,0,0,0,1.3,1,
463,Isaac Jones,25,DET,PF,1,0,1,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,0,2,
464,Caleb Martin,30,DAL,SF,21,0,9.5,0.4,1.8,0.243,0.1,0.6,0.154,0.3,1.1,0.292,0.27,0.3,0.4,0.875,0.5,1,1.6,0.9,0.5,0.1,0.4,1.7,1.3,
465,Drew Peterson,26,CHO,PF,4,0,13.3,0.5,3.5,0.143,0,2.8,0,0.5,0.8,0.667,0.143,0.3,0.5,0.5,0.5,1.3,1.8,0.5,0.8,0.3,0,0.8,1.3,
466,Hunter Sallis,22,PHI,SG,6,0,4.2,0.5,0.8,0.6,0,0,,0.5,0.8,0.6,0.6,0.2,0.3,0.5,0,0.2,0.2,0.7,0,0.2,0.8,0.3,1.2,
467,Andre Jackson Jr.,24,MIL,SG,10,0,6.4,0.4,1.5,0.267,0.2,0.8,0.25,0.2,0.7,0.286,0.333,0.1,0.2,0.5,0.3,0.4,0.7,1.4,0.4,0.1,0.4,0.9,1.1,
468,Johnny Juzang,24,MIN,SG,8,0,2.8,0.4,1.1,0.333,0.3,0.9,0.286,0.1,0.3,0.5,0.444,0.1,0.3,0.5,0.1,0.3,0.4,0.1,0,0,0.1,0.4,1.1,
469,Curtis Jones,24,DEN,SG,2,0,1.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,0,,0.5,0.5,1,0,0,0,0,0,1,
470,Miles Kelly,23,DAL,PG,2,0,5.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,1.5,2,0,0,0,0.5,1,1,
471,Jonathan Mogbo,24,TOR,PF,10,0,4.8,0.5,1.1,0.455,0,0,,0.5,1.1,0.455,0.455,0,0,,0.5,0.9,1.4,0.6,0.1,0.3,0.1,0.5,1,
472,Garrett Temple,39,TOR,SG,4,0,4.3,0.3,0.8,0.333,0.3,0.5,0.5,0,0.3,0,0.5,0.3,0.5,0.5,0,0.5,0.5,0.3,0.5,0.3,0.3,0.5,1,
473,Drew Timme,25,LAL,PF,2,0,4,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,0.5,1,1.5,0.5,0,0,0,1,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
474,Bismack Biyombo,33,SAS,C,8,1,7.3,0.4,0.5,0.75,0,0,,0.4,0.5,0.75,0.75,0.1,0.3,0.5,0.3,0.5,0.8,0.4,0.4,0.1,0.4,1.3,0.9,
475,Ariel Hukporti,23,NYK,C,14,2,7.3,0.4,0.8,0.545,0,0,,0.4,0.8,0.545,0.545,0.1,0.3,0.25,0.9,1.4,2.3,0.4,0.1,0.4,0.6,1.3,0.9,
476,N'Faly Dante,24,ATL,C,4,0,3.8,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.3,0.3,1,0.8,1,1.8,0,0.5,0,0.3,0.3,0.8,
477,Mohamed Diawara,20,NYK,SF,15,0,3.5,0.3,0.8,0.417,0.1,0.4,0.333,0.2,0.4,0.5,0.5,0,0.1,0,0.2,0.5,0.7,0.5,0.2,0.1,0.3,0.5,0.8,
478,AJ Johnson,21,WAS,SG,9,0,4.8,0.2,1.3,0.167,0,0.3,0,0.2,1,0.222,0.167,0.3,0.4,0.75,0.2,0.4,0.7,0.4,0,0,0.2,0.3,0.8,
479,Lachlan Olbrich,22,CHI,C,4,0,7.8,0.3,1.3,0.2,0,0.5,0,0.3,0.8,0.333,0.2,0,0,,0.5,1.5,2,0.8,0,0,0.5,2,0.5,
480,Amari Williams,24,BOS,PF,6,0,5.2,0.2,0.3,0.5,0,0,,0.2,0.3,0.5,0.5,0.2,0.3,0.5,0.3,0.8,1.2,0.2,0.2,0.3,0,0.7,0.5,
481,Pacome Dadiet,20,NYK,SG,9,0,2.4,0.1,0.7,0.167,0,0.3,0,0.1,0.3,0.333,0.167,0.2,0.2,1,0,0.6,0.6,0.2,0,0,0,0.1,0.4,
482,Hunter Tyson,25,DEN,PF,8,0,3.5,0,1.1,0,0,0.6,0,0,0.5,0,0,0.3,0.3,1,0.1,1.4,1.5,0.4,0.1,0,0,0.4,0.3,
483,Jahmyl Telfort,24,LAC,PF,8,0,4,0,0.5,0,0,0.5,0,0,0,,0,0.1,0.5,0.25,0,0.4,0.4,0.1,0.1,0,0.1,0.6,0.1,
484,Sharife Cooper,24,WAS,PG,4,0,2.5,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0.3,0.3,0,
485,Isaiah Crawford,24,HOU,SF,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
486,Noa Essengue,19,CHI,PF,2,0,3,0,1.5,0,0,1,0,0,0.5,0,0,0,0,,0,0,0,0,0.5,0,0,0.5,0,
487,Tosan Evbuomwan,24,NYK,SF,2,0,2.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0.5,0.5,1,0,0,0,0,0,0,
488,Trentyn Flowers,20,CHI,SF,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,
489,Chucky Hepburn,22,TOR,PG,1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,0,1,0,0,1,0,
490,Joe Ingles,38,MIN,SF,6,0,3.8,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,1,0.2,0,0,0.3,0,
491,Kasparas Jakucionis,19,MIA,PG,1,0,1,0,2,0,0,0,,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,
492,Trey Jemison,26,NYK,C,3,0,3.3,0,0,,0,0,,0,0,,,0,0,,0.3,0.7,1,0,0,0,0.3,0.7,0,
493,Christian Koloko,25,LAL,C,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0.5,0,
494,Chris Mañon,24,LAL,SG,2,0,3.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,1,1,0,0,0.5,0,1,0,
,League Average,,,,,,,,,0.47,,,0.36,,,0.548,0.545,,,0.79,,,,,,,,,,