,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,13,8,5,0.615,-5.5,1.9,,,,,5,0,,2,4,,942,906,,68.8,105.2,0.35,0.331,0.535,54.5,54.9,14.2,10.5,0.499,17.4,38,0.25
2,Air Force,12,3,9,0.25,-10.42,-1.75,,0,1,,3,5,,0,3,,786,890,,67.2,97.5,0.437,0.407,0.539,47.9,56.1,9.3,8.9,0.51,19,25.5,0.281
3,Akron,12,9,3,0.75,13.69,-0.31,,1,0,,6,0,,1,1,,1147,935,,74,129.1,0.283,0.417,0.625,53.3,59.3,10.1,9.6,0.603,11.6,36.6,0.211
4,Alabama,12,9,3,0.75,24.32,12.32,,,,,4,1,,1,0,,1127,983,,76.7,122.4,0.352,0.52,0.597,50.4,54.3,9.9,15.7,0.562,11.8,32.2,0.268
5,Alabama A&M,12,6,6,0.5,-9.6,0.1,,,,,6,1,,0,4,,794,863,,67.9,97.4,0.391,0.345,0.502,49,45.7,8.1,8.2,0.457,15.2,26.2,0.276
6,Alabama State,12,3,9,0.25,-10.16,2.57,,,,,1,0,,1,8,,910,994,,72.8,104.2,0.321,0.375,0.522,49,51.5,11.3,9.6,0.494,14.8,33.8,0.214
7,Albany (NY),14,4,10,0.286,-13.17,1.01,,,,,2,1,,1,6,,1057,1073,,70.4,107.2,0.249,0.381,0.545,50.2,53.4,10.8,10.1,0.533,15.5,32.7,0.153
8,Alcorn State,11,1,10,0.091,-21.12,5.7,,,,,0,0,,0,10,,721,1016,,72.7,90.2,0.233,0.342,0.504,42.2,41,11.1,11,0.487,21.2,28.1,0.146
9,American,13,7,6,0.538,-7.21,-1.03,,,,,7,1,,0,5,,1032,975,,71.5,111.1,0.32,0.467,0.563,47.7,51,12.4,4.5,0.529,14.3,28.3,0.239
10,Appalachian State,14,8,6,0.571,-7.2,-4.79,,1,1,,5,2,,2,4,,1028,923,,65.6,110.9,0.366,0.439,0.54,52,51.1,7.9,11.5,0.522,13.2,34,0.223
11,Arizona,12,12,0,1,30.05,6.3,,,,,7,0,,1,0,,1075,790,,72.7,123.3,0.43,0.285,0.605,60.1,58.7,12.2,10.4,0.572,14.6,42.4,0.312
12,Arizona State,13,9,4,0.692,9.96,5.19,,,,,4,2,,1,1,,1040,978,,70.8,112.9,0.447,0.391,0.579,48.9,50.9,10.3,12,0.534,13.7,28.5,0.335
13,Arkansas,12,9,3,0.75,20.9,6.32,,,,,8,0,,0,1,,1074,899,,73.4,121.9,0.405,0.381,0.597,51.8,57.8,10.9,12,0.56,11.6,32.8,0.305
14,Arkansas State,13,9,4,0.692,-0.83,-1.58,,2,0,,4,0,,5,4,,1066,1029,,72.8,111.6,0.37,0.415,0.565,54.2,51,9.9,6.1,0.519,16.6,37.1,0.29
15,Arkansas-Pine Bluff,13,3,10,0.231,-16.21,8.07,,,,,2,0,,1,10,,1025,1177,,77.8,101.3,0.266,0.379,0.531,48.3,59.5,9.8,8.9,0.495,16.9,29.9,0.205
16,Army,13,6,7,0.462,-14.59,-4.05,,,,,4,3,,2,3,,966,1000,,69.5,104.9,0.256,0.533,0.532,51.1,58,8,3,0.504,15.1,30.3,0.185
17,Auburn,12,8,4,0.667,16.18,9.68,,,,,5,0,,0,1,,1011,933,,69.9,119.2,0.452,0.403,0.576,53.2,48.7,11,11.8,0.535,13,38.8,0.331
18,Austin Peay,10,5,5,0.5,-0.46,0.65,,,,,3,0,,2,5,,763,692,,71.8,106.2,0.311,0.439,0.539,49.3,61.9,14.8,7.6,0.51,14.5,29.4,0.217
19,Ball State,12,3,9,0.25,-14.63,-6.63,,0,1,,2,3,,0,5,,791,849,,67.5,97.6,0.313,0.399,0.495,46.6,54.3,11.4,9.4,0.463,14.9,27.7,0.21
20,Baylor,11,9,2,0.818,19.32,2.5,,,,,7,0,,0,1,,1023,838,,73,127.3,0.388,0.376,0.607,55.8,54.2,9.6,10.9,0.572,12.5,41.7,0.294
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
21,Bellarmine,12,5,7,0.417,-4.85,3.75,,,,,3,2,,1,5,,940,948,,68.2,114.9,0.355,0.391,0.624,47,53.6,11.2,4.8,0.584,16.1,22.7,0.29
22,Belmont,13,12,1,0.923,11.26,-3.4,,2,0,,5,1,,5,0,,1110,887,,72.7,117.4,0.316,0.452,0.62,54,60.8,9.1,10.4,0.607,16.6,29.9,0.211
23,Bethune-Cookman,12,3,9,0.25,-11.44,7.02,,,,,2,0,,1,7,,848,1010,,70.5,99.2,0.323,0.309,0.514,44.6,48.5,11.5,9.9,0.486,15.2,27,0.214
24,Binghamton,14,3,11,0.214,-24.4,-9.32,,,,,3,3,,0,7,,930,1090,,66.5,98.2,0.495,0.339,0.54,49.1,50.7,7.9,8.8,0.481,18.9,25.3,0.373
25,Boise State,12,8,4,0.667,16.39,10.99,,0,1,,5,1,,1,1,,924,845,,69.5,110.8,0.405,0.399,0.561,56.3,54.2,7,4.4,0.516,15.1,33.9,0.305
26,Boston College,12,6,6,0.5,-0.85,-4.43,,,,,5,2,,1,1,,846,803,,65.9,103.8,0.365,0.455,0.506,51.7,46.2,6.6,14,0.469,12.7,31.8,0.25
27,Boston University,13,5,8,0.385,-10.84,-5.75,,,,,3,2,,1,6,,970,984,,64.5,113.5,0.31,0.461,0.592,50.5,55.3,8.7,9.9,0.575,16.4,31,0.206
28,Bowling Green,13,10,3,0.769,9.04,-2.97,,1,0,,6,2,,2,1,,1152,837,,74.6,118.8,0.383,0.352,0.594,54.3,54.2,17.4,11.7,0.559,13.6,32.4,0.288
29,Bradley,13,9,4,0.692,4.26,-2.66,,2,0,,6,1,,1,1,,1020,904,,69.2,110.2,0.38,0.432,0.555,48.6,50.4,14.3,11.1,0.517,13.1,28,0.276
30,Brigham Young,13,12,1,0.923,25.47,4.71,,,,,6,0,,0,0,,1136,866,,70.5,123.9,0.354,0.408,0.609,54.3,50.6,13.3,12.9,0.577,12.3,34.1,0.268
31,Brown,12,5,7,0.417,-8.61,-7.25,,,,,3,3,,2,4,,850,784,,67,103.6,0.269,0.379,0.531,50.8,58.7,11.7,13.6,0.506,16,31,0.186
32,Bryant,13,3,10,0.231,-13.78,0.05,,,,,3,1,,0,9,,810,950,,67.4,92.5,0.269,0.506,0.501,47.2,58.2,9.9,10.6,0.467,19.2,26.2,0.197
33,Bucknell,13,3,10,0.231,-13.31,0.84,,,,,1,3,,2,4,,832,1016,,67.9,94.2,0.307,0.443,0.507,47,54.9,10.1,6.8,0.469,18.6,27.1,0.225
34,Buffalo,13,11,2,0.846,-1.64,-7.82,,1,0,,5,1,,4,1,,1032,919,,65.9,120.4,0.476,0.454,0.609,50.7,54.1,11.4,7.9,0.57,13,30,0.353
35,Butler,13,10,3,0.769,16.44,3.06,,1,1,,7,1,,0,2,,1123,949,,72,117.8,0.44,0.368,0.571,55.4,57,10.1,9.8,0.541,13.4,38.5,0.3
36,Cal Poly,14,5,9,0.357,-5.56,2.19,,1,1,,2,3,,3,5,,1158,1223,,78,105.1,0.409,0.504,0.564,51.6,48.2,8,6.3,0.52,19,30.8,0.308
37,Cal State Bakersfield,14,6,8,0.429,-12.46,-2.54,,0,2,,5,2,,1,6,,1020,1086,,72.3,100.8,0.463,0.297,0.522,48.2,43.8,11.2,15.2,0.466,17.3,32.9,0.341
38,Cal State Fullerton,13,5,8,0.385,-0.95,3.51,,0,2,,3,2,,1,5,,1165,1110,,79.9,112.2,0.377,0.393,0.566,50.1,53.6,9.5,6.8,0.537,12.6,27.1,0.26
39,Cal State Northridge,13,8,5,0.615,-5.81,-2.45,,1,1,,6,0,,2,3,,1048,1009,,75,107.6,0.32,0.36,0.526,54.2,57,9.6,7.8,0.495,14.8,36,0.221
40,California,13,12,1,0.923,14.11,-1.81,,,,,11,0,,0,1,,1080,867,,69.8,119.1,0.397,0.411,0.598,51.4,54.8,9.4,11.6,0.555,12.7,29.9,0.312
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,California Baptist,13,10,3,0.769,2.66,-2.11,,,,,6,0,,3,2,,980,918,,69.2,109,0.364,0.321,0.524,56.4,44.1,8.9,6.4,0.484,14.6,40.6,0.262
42,Campbell,13,6,7,0.462,-6.9,4.01,,,,,5,0,,0,7,,1051,1031,,73.6,109.9,0.441,0.363,0.552,54.8,47.9,9.2,5.7,0.515,16.6,38.7,0.305
43,Canisius,13,5,8,0.385,-19.35,-4.94,,0,2,,4,1,,1,7,,781,913,,64.5,93.1,0.353,0.369,0.5,49.8,54.2,6.7,7.1,0.466,19.5,30.1,0.235
44,Central Arkansas,13,5,8,0.385,-4.01,2.72,,,,,5,1,,0,7,,992,964,,73.1,103.4,0.266,0.514,0.53,50.8,55.4,12.3,4.9,0.512,15.2,28.5,0.17
45,Central Connecticut State,11,6,5,0.545,-8.99,-4.21,,,,,3,1,,3,4,,871,787,,69.5,112.7,0.258,0.346,0.566,52.8,55,9.6,14,0.543,13,29.3,0.185
46,Central Michigan,13,4,9,0.308,-15.63,-3.27,,0,1,,3,1,,0,7,,942,1013,,69.6,104.1,0.29,0.348,0.533,48.4,60.5,8.7,12.7,0.503,15.7,31.2,0.207
47,Charleston Southern,14,8,6,0.571,-5.73,-7.45,,,,,6,0,,2,5,,1198,1071,,75.5,113.4,0.276,0.562,0.57,53.6,64.2,6.1,9.5,0.551,14.8,31.8,0.187
48,Charlotte,13,6,7,0.462,0.19,0.27,,,,,6,2,,0,3,,937,934,,64.6,110.5,0.379,0.434,0.554,53.6,53.1,8,11.3,0.522,15.6,37,0.262
49,Chattanooga,13,6,7,0.462,-10.59,-2.89,,,,,4,2,,2,4,,1010,927,,68.4,113.7,0.295,0.537,0.572,49.4,62.2,9.7,5.4,0.543,12.3,27,0.22
50,Chicago State,13,2,11,0.154,-13.11,7.64,,,,,1,1,,1,10,,861,1087,,69.5,95.3,0.32,0.29,0.482,47.2,40.7,12.2,4.3,0.435,15.9,33.2,0.241
51,Cincinnati,12,7,5,0.583,9.29,0.38,,,,,7,1,,0,1,,896,789,,73.4,101.8,0.365,0.482,0.522,52.8,67.2,9.8,15.8,0.496,15.9,30.2,0.232
52,Clemson,13,10,3,0.769,16.37,2.53,,,,,7,0,,0,2,,1036,856,,67.2,117.5,0.395,0.426,0.568,54.7,54.7,9,8.1,0.529,11.6,33.4,0.292
53,Cleveland State,14,4,10,0.286,-16.83,-0.92,,0,3,,3,3,,0,6,,1101,1178,,72.4,108.6,0.382,0.462,0.567,49.5,59.2,7,7.9,0.532,17.2,33.1,0.276
54,Coastal Carolina,14,8,6,0.571,-8.72,-5.02,,1,1,,3,0,,4,6,,1019,990,,72.1,100.1,0.29,0.409,0.503,51,45,7.2,8.7,0.471,12.2,25.4,0.203
55,Colgate,12,6,6,0.5,-1.09,3.91,,,,,2,1,,1,5,,912,883,,67.4,110.5,0.222,0.342,0.576,47.5,51.4,9,9,0.556,13.7,25.9,0.162
56,College of Charleston,13,7,6,0.538,-0.92,-0.17,,,,,4,2,,1,2,,980,968,,69.1,109.1,0.438,0.409,0.535,50.5,47.4,8.7,11.9,0.488,12.6,31.6,0.317
57,Colorado,12,10,2,0.833,11.52,1.85,,,,,8,0,,0,1,,1036,920,,70.4,121.4,0.425,0.304,0.607,53.9,56.5,9.3,10,0.57,12.8,33.4,0.32
58,Colorado State,12,9,3,0.75,10.41,2.68,,0,1,,6,1,,1,1,,1001,866,,65.2,128,0.375,0.494,0.669,53.8,64,8.2,4.5,0.637,15.3,31.3,0.302
59,Columbia,12,9,3,0.75,3.18,-4.73,,,,,6,0,,3,3,,942,807,,68.3,113.7,0.275,0.38,0.575,58.9,55,8.7,9.4,0.552,17,39.5,0.196
60,Connecticut,13,12,1,0.923,25.98,8.59,,2,0,,7,1,,2,0,,1020,794,,67.5,116.3,0.306,0.364,0.58,54.2,62.1,10.6,17.1,0.558,13.7,34.1,0.214
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coppin State,16,2,14,0.125,-29.88,-3.42,,,,,1,0,,1,11,,1037,1393,,71.1,91.1,0.333,0.343,0.487,45.8,53.7,9.2,8.9,0.445,18.9,29.4,0.237
62,Cornell,11,6,5,0.545,-2.52,-4.22,,,,,3,0,,3,5,,994,933,,74,119.4,0.301,0.54,0.626,51.2,68.8,8,7,0.606,15.5,30.3,0.219
63,Creighton,13,8,5,0.615,15.01,6.93,,2,0,,6,1,,1,2,,1020,915,,69.1,113.5,0.258,0.491,0.575,51.6,61.9,9.1,7,0.55,14.5,30.9,0.191
64,Dartmouth,11,5,6,0.455,-8.44,-5.94,,,,,3,2,,2,4,,841,821,,70.8,108,0.386,0.517,0.572,53.2,58.2,6.7,9.9,0.537,18.1,31.7,0.28
65,Davidson,12,8,4,0.667,5.12,2.85,,,,,6,2,,1,1,,888,829,,66.3,111.6,0.376,0.426,0.573,50.6,54.5,10.8,9.6,0.549,14.5,28.9,0.253
66,Dayton,13,9,4,0.692,9.15,-0.16,,,,,7,1,,1,1,,1035,914,,70.2,111.3,0.481,0.438,0.577,49.4,57,13.2,13.4,0.533,14.6,27.3,0.352
67,Delaware,11,4,7,0.364,-9.24,-4.34,,,,,2,3,,1,3,,752,810,,67.4,100.3,0.25,0.433,0.552,48.2,57,8.8,10.3,0.525,17.9,23.3,0.186
68,Delaware State,14,5,9,0.357,-22.56,-5.86,,,,,4,1,,1,7,,866,1005,,68,90.1,0.251,0.273,0.467,47.8,49.7,12.8,5.5,0.438,16,26.4,0.17
69,Denver,15,7,8,0.467,-4.54,5.88,,,,,4,2,,3,6,,1262,1279,,70.3,119.7,0.363,0.378,0.599,49.2,40.1,6.9,5.6,0.564,13.5,31.9,0.277
70,DePaul,13,8,5,0.615,4.55,-1.14,,0,2,,6,3,,1,1,,971,897,,70,106.8,0.425,0.39,0.549,48.9,64.1,10.4,8.6,0.512,15,29,0.295
71,Detroit Mercy,12,5,7,0.417,-11.78,-2.68,,2,1,,3,1,,2,6,,910,932,,71.2,106.5,0.331,0.339,0.514,52.2,46.7,8.2,7.9,0.471,13.6,35.4,0.248
72,Drake,13,7,6,0.538,2.91,-1.19,,1,1,,3,4,,2,1,,1028,899,,67.5,116,0.32,0.433,0.579,51.4,54,8.4,10.4,0.546,12.2,28.1,0.241
73,Drexel,13,6,7,0.462,-10.53,-9.53,,,,,5,2,,1,3,,932,910,,68.1,105.4,0.302,0.408,0.526,52.5,56.8,10.4,11.4,0.505,16,35.2,0.195
74,Duke,12,11,1,0.917,29.7,5.12,,,,,6,0,,2,0,,1046,751,,70.9,123,0.414,0.467,0.611,57.1,61.9,11.1,13,0.586,13.6,36.6,0.291
75,Duquesne,12,7,5,0.583,2.12,-3.24,,,,,7,1,,0,3,,1023,943,,73.8,114.4,0.391,0.436,0.604,51.4,58.5,10.1,7.1,0.579,17.1,30.6,0.275
76,East Carolina,13,5,8,0.385,-10.05,-0.05,,,,,5,3,,0,3,,872,991,,70.3,95.4,0.409,0.32,0.483,51,46.5,10,9.5,0.432,16.7,34.3,0.29
77,East Tennessee State,13,8,5,0.615,2.16,-4.66,,,,,7,1,,1,4,,1021,878,,68.8,114.2,0.304,0.411,0.58,51.3,54,14,13.2,0.555,14.4,31.4,0.218
78,East Texas A&M,12,6,6,0.5,-10.74,1.86,,1,1,,3,0,,2,6,,927,923,,73.9,104.5,0.307,0.466,0.557,48.2,66.4,10.8,8.4,0.53,17,26.7,0.216
79,Eastern Illinois,12,4,8,0.333,-11.22,5.48,,1,1,,4,2,,0,6,,795,896,,67.9,96.5,0.324,0.319,0.519,47.5,53.8,10,10.1,0.478,18.1,27.9,0.241
80,Eastern Kentucky,13,4,9,0.308,-8.51,2.59,,,,,2,4,,2,5,,1028,1033,,73.1,108.2,0.291,0.502,0.528,51,50.3,10.4,10.6,0.495,14.7,34.5,0.212
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Eastern Michigan,13,6,7,0.462,-3.51,0.99,,0,1,,4,1,,2,6,,927,943,,69.4,102.8,0.305,0.305,0.523,50.4,50,9.9,8.7,0.49,15.1,30.8,0.217
82,Eastern Washington,13,2,11,0.154,-6.69,4.4,,,,,2,1,,0,9,,1010,1125,,71.3,107,0.309,0.371,0.556,48.3,46.6,9,6.7,0.528,16.2,30.4,0.218
83,Elon,13,8,5,0.615,0.4,-2.06,,,,,5,2,,3,3,,1116,1007,,69.3,121.6,0.344,0.441,0.581,53.6,52.3,10.4,10.8,0.55,12.8,39.2,0.253
84,Evansville,13,4,9,0.308,-4.95,5.6,,0,2,,3,4,,0,3,,902,947,,68.9,100.7,0.372,0.432,0.526,48.9,57.8,8.7,12.2,0.487,16.1,28.4,0.263
85,Fairfield,13,8,5,0.615,-9.29,-8.54,,0,2,,5,1,,3,4,,1012,958,,69.9,110.2,0.255,0.374,0.521,53.7,41.9,9.5,9.9,0.491,12,35.7,0.185
86,FDU,12,3,9,0.25,-19.82,-0.93,,,,,3,2,,0,7,,851,897,,68.5,103.5,0.264,0.503,0.515,52.3,55.3,7.1,7.4,0.49,15.8,34.6,0.18
87,Florida,12,8,4,0.667,21.72,7.64,,,,,5,0,,0,1,,1012,843,,73.1,115.4,0.42,0.425,0.555,60.1,53.3,8.1,12.1,0.516,15.2,43.8,0.299
88,Florida A&M,10,3,7,0.3,-16.26,4.5,,,,,2,1,,0,6,,673,821,,72.6,91.6,0.373,0.353,0.505,44.6,49.2,11.4,8.7,0.48,19.4,25.2,0.23
89,Florida Atlantic,13,8,5,0.615,7.14,3.96,,,,,5,1,,1,2,,1078,957,,70,117.3,0.316,0.417,0.569,53.4,47.9,8.6,16.6,0.537,13.7,35.9,0.236
90,Florida Gulf Coast,12,5,7,0.417,-1.72,2.1,,,,,4,3,,1,4,,997,1003,,72.6,112.2,0.3,0.396,0.548,51.3,51.8,12,9.5,0.516,13.3,35.1,0.22
91,Florida International,11,7,4,0.636,-0.62,2.25,,,,,7,1,,0,3,,963,859,,77.1,113.6,0.387,0.383,0.563,50.7,62.6,14.5,15,0.536,14.2,36.7,0.26
92,Florida State,13,7,6,0.538,6.47,-0.22,,,,,7,1,,0,2,,1105,1018,,76.7,110.8,0.338,0.535,0.54,49.3,56.5,12.7,11.2,0.506,13.7,34.5,0.242
93,Fordham,13,9,4,0.692,-3.43,-11.33,,,,,7,2,,0,1,,981,797,,67.6,111.6,0.22,0.372,0.548,58.2,56.9,10.8,7.9,0.532,14.4,36.9,0.147
94,Fresno State,12,6,6,0.5,1.33,0.78,,0,1,,5,3,,0,3,,913,870,,71.3,106.8,0.34,0.413,0.56,51.4,53.5,10.5,6.1,0.528,16.8,31.5,0.244
95,Furman,13,9,4,0.692,-0.04,0.56,,,,,6,1,,2,1,,1022,915,,68.9,114,0.316,0.494,0.578,55.9,60.2,8.4,10.2,0.562,16,34.9,0.204
96,Gardner-Webb,15,2,13,0.133,-23.94,2.23,,,,,2,3,,0,8,,1043,1314,,72.4,96.1,0.321,0.385,0.515,45.4,42.9,8.4,7.5,0.481,17.3,25.4,0.225
97,George Mason,12,11,1,0.917,8.56,-4.44,,,,,9,0,,0,1,,960,793,,67.6,118.4,0.52,0.351,0.598,55.4,51.8,8.6,11.8,0.548,14.9,34.7,0.394
98,George Washington,13,9,4,0.692,11.2,-0.05,,,,,6,1,,1,0,,1139,947,,73.6,119.1,0.432,0.424,0.598,55.6,55.3,11.2,10.2,0.563,15.1,35.9,0.316
99,Georgetown,13,9,4,0.692,3.41,-2.52,,1,1,,7,1,,2,1,,1034,957,,69.2,112.7,0.444,0.354,0.545,51,60.5,10.7,13.6,0.499,10.7,30.9,0.322
100,Georgia,12,11,1,0.917,24.76,-3.24,,,,,8,0,,1,0,,1198,862,,78.5,125.9,0.422,0.441,0.605,55.3,50.4,13.7,18.3,0.565,12.2,38.8,0.322
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Georgia Southern,15,10,5,0.667,-6.07,-7.38,,2,0,,7,0,,3,3,,1260,1182,,73.6,113.2,0.403,0.471,0.56,47,42.8,11.8,9.3,0.522,12.3,29.5,0.291
102,Georgia State,13,3,10,0.231,-16.58,-2.08,,1,1,,2,1,,1,7,,855,995,,71.1,92.5,0.349,0.465,0.48,46.8,50.7,9.2,7.3,0.426,16.1,27.5,0.267
103,Georgia Tech,12,8,4,0.667,1.54,-3.21,,,,,8,1,,0,1,,906,849,,71.6,104.3,0.348,0.322,0.528,53,62.9,9.8,12.2,0.498,15.5,32.7,0.235
104,Gonzaga,13,12,1,0.923,32.46,7.62,,,,,6,0,,1,0,,1200,877,,73.9,124.9,0.316,0.31,0.601,57.6,57.5,12,11.1,0.578,11.8,37.2,0.227
105,Grambling,12,5,7,0.417,-7.69,-0.51,,,,,2,0,,1,7,,849,884,,69.7,101.5,0.474,0.351,0.553,47,53.5,12.4,10.4,0.507,19,29,0.34
106,Grand Canyon,12,8,4,0.667,8.23,0.14,,1,0,,6,1,,1,1,,922,825,,70.3,109.3,0.407,0.367,0.553,55.4,52.1,9.4,7.5,0.504,15.3,34.7,0.312
107,Green Bay,14,6,8,0.429,-7.88,1.54,,1,2,,3,1,,1,6,,1024,1077,,66.8,108.6,0.455,0.396,0.567,48.8,51.6,7.1,8.3,0.53,14.6,24.4,0.319
108,Hampton,13,6,7,0.462,-10.93,-8.2,,,,,3,0,,2,4,,961,895,,68.1,108.6,0.411,0.386,0.535,52.9,53.4,11,10.5,0.493,15,36.7,0.293
109,Harvard,13,6,7,0.462,-4.73,-3.82,,,,,4,1,,2,5,,906,888,,65.5,106.4,0.269,0.354,0.565,50,53.6,11.4,9.9,0.532,16,26.6,0.211
110,Hawaii,12,10,2,0.833,8.93,-5.47,,2,0,,10,1,,0,1,,965,757,,71.9,111.9,0.5,0.394,0.572,57.1,53.1,9,8.5,0.527,16,34.7,0.361
111,High Point,14,11,3,0.786,7.42,-7.49,,,,,8,1,,0,1,,1307,971,,71.8,128.8,0.441,0.421,0.624,51.8,53.9,16.5,10.1,0.594,11.1,34,0.322
112,Hofstra,13,9,4,0.692,3.65,-0.44,,,,,3,0,,4,4,,1009,861,,68.2,113.8,0.306,0.41,0.569,54.1,51.8,8.5,11.2,0.541,14.6,35.3,0.221
113,Holy Cross,13,5,8,0.385,-14.11,-1.56,,,,,3,2,,1,6,,861,953,,67,98.9,0.299,0.426,0.516,47.2,46.9,9.9,4.1,0.488,15.2,24.1,0.204
114,Houston,12,11,1,0.917,22.22,2.72,,,,,6,0,,0,0,,954,720,,65.9,119.4,0.253,0.423,0.559,53.4,59.8,13.9,13.7,0.531,11.8,38.2,0.19
115,Houston Christian,12,5,7,0.417,-9.4,-5,,1,3,,3,2,,2,4,,857,879,,66.5,106.3,0.375,0.381,0.545,51.1,59.6,10.2,12,0.521,15.5,30.5,0.243
116,Howard,14,9,5,0.643,-10.03,-6.94,,,,,4,2,,2,3,,1058,990,,70.9,106.6,0.442,0.327,0.553,50.9,57.7,13.4,9.8,0.511,16.6,32.4,0.315
117,Idaho,13,8,5,0.615,-1.4,-1.4,,,,,4,0,,3,4,,1055,927,,69.6,115.5,0.339,0.508,0.584,54.8,56.4,8.5,5.8,0.548,14.1,31.6,0.261
118,Idaho State,13,7,6,0.538,2.71,2.01,,,,,4,1,,2,4,,983,912,,66,114.5,0.391,0.442,0.577,53.7,50.9,8.6,12.4,0.54,15.3,38.2,0.288
119,Illinois,12,9,3,0.75,27.74,9.24,,1,1,,6,1,,1,0,,1057,835,,69.3,127,0.356,0.467,0.601,57.5,49.2,5.4,14,0.563,11.7,39.2,0.279
120,Illinois State,13,10,3,0.769,10.43,-0.65,,2,0,,6,0,,2,1,,1053,875,,68.6,118.1,0.339,0.406,0.582,53.7,50.3,9,6.7,0.562,12.7,32,0.227
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Illinois-Chicago,12,4,8,0.333,-4.84,-2.29,,0,2,,2,2,,1,5,,909,894,,68.5,109.5,0.377,0.358,0.538,50.4,53.1,12.5,13.9,0.491,15.7,39,0.288
